raw,norm,count,raw_total,pattern
ich,Ich,66,347,case_change
ne,eine,55,64,other_substitution
grad,gerade,37,37,other_substitution
nich,nicht,33,35,other_substitution
hab,habe,30,48,other_substitution
nix,nichts,24,25,expansion_or_abbreviation_restore
fuer,für,23,23,other_substitution
is,ist,22,25,other_substitution
gibts,gibt es,17,18,whitespace_change
's,es,17,20,other_substitution
das,Das,17,147,case_change
nen,einen,15,19,other_substitution
gehts,geht es,15,15,whitespace_change
aber,Aber,15,86,case_change
nem,einem,14,14,other_substitution
wär,wäre,14,16,other_substitution
wettendass,"Wetten, dass",14,15,whitespace_change
wie,Wie,13,43,case_change
find,finde,13,13,other_substitution
heut,heute,13,14,other_substitution
grade,gerade,12,13,other_substitution
würd,würde,12,12,other_substitution
werd,werde,11,12,other_substitution
das,dass,11,147,other_substitution
ja,Ja,11,55,case_change
net,nicht,11,12,other_substitution
zuhause,zu Hause,11,11,whitespace_change
was,etwas,9,55,other_substitution
die,Die,9,193,case_change
kenn,kenne,9,10,other_substitution
geh,gehe,9,9,other_substitution
und,Und,9,201,case_change
freu,freue,9,11,other_substitution
eh,eher,8,8,other_substitution
ach,Ach,8,8,case_change
ned,nicht,7,8,other_substitution
glaub,glaube,7,10,other_substitution
rum,herum,7,8,other_substitution
nacht,Nacht,6,6,case_change
hab,Habe,6,48,other_substitution
vllt,vielleicht,6,7,expansion_or_abbreviation_restore
der,Der,6,150,case_change
',eine,5,28,expansion_or_abbreviation_restore
un,und,5,5,other_substitution
Achso,Ach so,5,5,whitespace_change
drüber,darüber,5,5,other_substitution
Find,Finde,5,5,other_substitution
fur,für,5,5,other_substitution
scheiss,Scheisse,5,5,other_substitution
les,lese,5,5,other_substitution
iwie,irgendwie,5,5,expansion_or_abbreviation_restore
Scheiss,Scheisse,5,5,other_substitution
Ick,Ich,5,5,other_substitution
ok,Ok,5,8,case_change
weiss,Weiss,5,26,case_change
Hab,Habe,5,7,other_substitution
soo,so,4,5,other_substitution
schaun,schauen,4,5,other_substitution
ma,mal,4,5,other_substitution
Naja,Na ja,4,4,whitespace_change
jz,jetzt,4,4,expansion_or_abbreviation_restore
gute,Gute,4,6,case_change
oh,Oh,4,7,case_change
wars,war es,4,4,whitespace_change
nun,Nun,4,12,case_change
garnicht,gar nicht,4,4,whitespace_change
also,Also,4,14,case_change
Jaa,Ja,4,4,other_substitution
Ne,Nein,4,4,other_substitution
moechte,möchte,4,5,other_substitution
nen,ein,4,19,other_substitution
aufm,auf dem,4,4,whitespace_change
ner,einer,4,5,other_substitution
sry,Sorry,4,6,other_substitution
bekomm,bekomme,4,4,other_substitution
weg,Weg,4,14,case_change
wa,wir,4,6,other_substitution
jaaaa,Ja,4,4,repeated_char_reduction
drauf,darauf,4,7,other_substitution
mach,mache,4,10,other_substitution
du,Du,4,62,case_change
ne,nein,4,64,other_substitution
jetz,jetzt,4,4,other_substitution
handy,Handy,4,4,case_change
gaaaanz,ganz,3,3,repeated_char_reduction
habs,habe es,3,4,whitespace_change
habn,haben,3,3,other_substitution
na,Na,3,5,case_change
schau,schaue,3,3,other_substitution
Werd,Werde,3,3,other_substitution
twitter,Twitter,3,4,case_change
warum,Warum,3,6,case_change
ang,angekündigt,3,4,expansion_or_abbreviation_restore
n8,Nacht,3,3,digit_related_change
fussball,Fussball,3,3,case_change
hätt,hätte,3,3,other_substitution
lust,Lust,3,3,case_change
tja,Tja,3,3,case_change
naja,Na ja,3,5,whitespace_change
wärs,wäre es,3,3,whitespace_change
welt,Welt,3,3,case_change
seh,sehe,3,4,other_substitution
sooo,so,3,3,repeated_char_reduction
ehm,Ehm,3,3,case_change
ichs,ich es,3,3,whitespace_change
scho,schon,3,3,other_substitution
zuviele,zu viele,3,3,whitespace_change
Nachti,Nacht,3,3,other_substitution
jaa,Ja,3,5,other_substitution
danke,Danke,3,3,case_change
typ,Typ,3,3,case_change
