raw,norm,count,raw_total,changed_confidence,raw_confidence,pattern
pa,på,65,73,1.0,0.8904,accent_or_diacritic_restore
vaere,være,46,46,1.0,1.0,danish_letter_restore
sa,så,37,41,1.0,0.9024,accent_or_diacritic_restore
ogsa,også,24,28,1.0,0.8571,accent_or_diacritic_restore
vaeret,været,21,21,1.0,1.0,danish_letter_restore
p,på,16,19,1.0,0.8421,other_substitution
ikk,ikke,15,15,1.0,1.0,other_substitution
s,så,15,22,1.0,0.6818,other_substitution
vre,være,10,10,1.0,1.0,other_substitution
vaek,væk,10,10,1.0,1.0,danish_letter_restore
ik,ikke,10,10,1.0,1.0,expansion_or_abbreviation_restore
fler,føler,10,10,1.0,1.0,other_substitution
sku,sgu,9,10,0.9,0.9,other_substitution
jeq,jeg,9,9,1.0,1.0,other_substitution
sadan,sådan,8,9,1.0,0.8889,accent_or_diacritic_restore
ma,må,8,8,1.0,1.0,accent_or_diacritic_restore
gar,går,7,7,1.0,1.0,accent_or_diacritic_restore
laekker,lækker,7,7,1.0,1.0,danish_letter_restore
paa,på,7,7,1.0,1.0,danish_letter_restore
naesten,næsten,7,7,1.0,1.0,danish_letter_restore
saa,så,7,7,1.0,1.0,danish_letter_restore
saeson,sæson,7,7,1.0,1.0,danish_letter_restore
taenker,tænker,6,6,1.0,1.0,danish_letter_restore
ek,ikke,6,6,1.0,1.0,expansion_or_abbreviation_restore
a,at,6,14,1.0,0.4286,other_substitution
desvaerre,desværre,6,6,1.0,1.0,danish_letter_restore
idag,i dag,6,6,1.0,1.0,whitespace_change
ogs,også,6,7,1.0,0.8571,other_substitution
stte,sætte,6,6,1.0,1.0,other_substitution
fet,fået,6,6,1.0,1.0,other_substitution
jalouxi,jalousi,6,6,1.0,1.0,other_substitution
blir,bliver,5,5,1.0,1.0,expansion_or_abbreviation_restore
hjaelp,hjælp,5,5,1.0,1.0,danish_letter_restore
nar,når,5,5,1.0,1.0,accent_or_diacritic_restore
ar,år,5,7,1.0,0.7143,accent_or_diacritic_restore
har,hår,5,183,1.0,0.0273,accent_or_diacritic_restore
made,måde,5,5,1.0,1.0,accent_or_diacritic_restore
hjaelpe,hjælpe,5,5,1.0,1.0,danish_letter_restore
gr,går,5,8,0.625,0.625,other_substitution
hva,hvad,5,5,1.0,1.0,other_substitution
maneder,måneder,5,5,1.0,1.0,accent_or_diacritic_restore
hvornr,hvornår,5,5,1.0,1.0,other_substitution
forsta,forstå,5,5,1.0,1.0,accent_or_diacritic_restore
la,lå,4,4,1.0,1.0,accent_or_diacritic_restore
hardt,hårdt,4,4,1.0,1.0,accent_or_diacritic_restore
laenge,længe,4,4,1.0,1.0,danish_letter_restore
haevn,hævn,4,4,1.0,1.0,danish_letter_restore
taenke,tænke,4,5,0.8,0.8,danish_letter_restore
fa,få,4,5,0.8,0.8,accent_or_diacritic_restore
paen,pæn,4,4,1.0,1.0,danish_letter_restore
squ,sgu,4,4,1.0,1.0,other_substitution
nr,når,4,5,1.0,0.8,other_substitution
rrende,rørende,4,4,1.0,1.0,other_substitution
dde,døde,4,5,1.0,0.8,other_substitution
krft,kræft,4,4,1.0,1.0,other_substitution
diq,dig,4,4,1.0,1.0,other_substitution
