raw,norm,count,raw_total,pattern
ni,niet,83,86,other_substitution
aant,aan het,38,38,whitespace_change
da,dat,34,35,other_substitution
mn,mijn,34,34,other_substitution
goe,goed,31,32,other_substitution
ff,even,31,33,other_substitution
mss,misschien,30,32,expansion_or_abbreviation_restore
gwn,gewoon,27,27,expansion_or_abbreviation_restore
ma,maar,21,23,other_substitution
nie,niet,20,21,other_substitution
effe,even,19,21,other_substitution
ne,een,18,19,other_substitution
nen,een,17,18,other_substitution
kheb,ik heb,17,25,whitespace_change
moete,moeten,15,18,other_substitution
ist,is het,15,16,whitespace_change
dn,dan,15,19,other_substitution
'n,een,14,14,other_substitution
drinkn,drinken,14,14,other_substitution
't,het,12,16,other_substitution
wa,wat,12,13,other_substitution
kga,ik ga,12,22,whitespace_change
ng,nog,12,12,other_substitution
kben,ik ben,12,20,whitespace_change
m'n,mijn,12,12,other_substitution
we,We,12,35,case_change
wss,waarschijnlijk,11,12,expansion_or_abbreviation_restore
hebbe,hebben,11,11,other_substitution
wete,weten,11,13,other_substitution
mja,Maar ja,11,15,whitespace_change
t,het,11,11,other_substitution
mr,maar,10,11,other_substitution
prive,privé,10,10,other_substitution
aub,alstublieft,10,11,expansion_or_abbreviation_restore
idd,inderdaad,10,17,expansion_or_abbreviation_restore
gij,jij,10,11,other_substitution
vanavnd,vanavond,10,11,other_substitution
vd,van de,10,10,whitespace_change
kzal,Ik zal,9,17,whitespace_change
kome,komen,9,9,other_substitution
kga,Ik ga,9,22,whitespace_change
vr,voor,9,9,other_substitution
nt,niet,8,8,other_substitution
kheb,Ik heb,8,25,whitespace_change
vn,van,8,8,other_substitution
gn,geen,8,20,other_substitution
nr,naar,8,8,other_substitution
mense,mensen,8,9,other_substitution
kzal,ik zal,8,17,whitespace_change
ik,Ik,8,121,case_change
kben,Ik ben,8,20,whitespace_change
niej,niet,8,8,other_substitution
Kben,Ik ben,8,13,whitespace_change
gn,gaan,7,20,other_substitution
trg,terug,7,7,other_substitution
zitte,zitten,7,9,other_substitution
seg,Zeg,7,8,other_substitution
