raw,top_norm,top_count,raw_count,changed_count,top_conf,change_ratio,num_candidates
bi,bir,41,45,45,0.9111111111111111,1.0,3
cok,çok,33,38,38,0.868421052631579,1.0,2
cnm,canım,17,19,19,0.8947368421052632,1.0,2
hic,hiç,13,14,14,0.9285714285714286,1.0,2
ben,Ben,12,39,13,0.9230769230769231,0.3333333333333333,2
ich,Ich,12,84,12,1.0,0.14285714285714285,1
almanca,Almanca,11,11,11,1.0,1.0,1
yaa,ya,10,10,10,1.0,1.0,1
de,,10,56,12,0.8333333333333334,0.21428571428571427,2
degil,değil,9,9,9,1.0,1.0,1
nasil,nasıl,9,9,9,1.0,1.0,1
mi,mı,9,29,9,1.0,0.3103448275862069,1
da,,8,39,12,0.6666666666666666,0.3076923076923077,3
o,O,8,58,8,1.0,0.13793103448275862,1
baska,başka,7,7,7,1.0,1.0,1
insallah,inşallah,7,8,8,0.875,1.0,2
canim,canım,7,8,8,0.875,1.0,2
icin,için,7,7,7,1.0,1.0,1
bide,bir de,7,8,8,0.875,1.0,2
yok,Yok,7,28,7,1.0,0.25,1
bu,Bu,7,53,7,1.0,0.1320754716981132,1
hab,habe,6,7,7,0.8571428571428571,1.0,2
geliyo,geliyor,6,6,6,1.0,1.0,1
simdi,şimdi,6,6,6,1.0,1.0,1
kac,kaç,6,7,7,0.8571428571428571,1.0,2
istanbul,İstanbul,5,5,5,1.0,1.0,1
sey,şey,5,5,5,1.0,1.0,1
yada,ya da,5,5,5,1.0,1.0,1
ethik,Ethik,5,5,5,1.0,1.0,1
Uff,Uf,5,5,5,1.0,1.0,1
schule,Schule,5,5,5,1.0,1.0,1
evet,Evet,5,6,5,1.0,0.8333333333333334,1
sende,sen de,5,8,5,1.0,0.625,1
ne,eine,5,45,8,0.625,0.17777777777777778,3
ya,Ya,5,49,7,0.7142857142857143,0.14285714285714285,2
bisey,bir şey,4,5,5,0.8,1.0,2
aslinda,aslında,4,4,4,1.0,1.0,1
allah,Allah,4,4,4,1.0,1.0,1
türk,Türk,4,4,4,1.0,1.0,1
yapcam,yapacağım,4,4,4,1.0,1.0,1
almanyada,Almanya'da,4,4,4,1.0,1.0,1
iste,işte,4,4,4,1.0,1.0,1
bruder,Bruder,4,4,4,1.0,1.0,1
alman,Alman,4,4,4,1.0,1.0,1
ma,mal,4,5,5,0.8,1.0,2
gecmis,geçmiş,4,7,7,0.5714285714285714,1.0,2
zmn,zaman,4,4,4,1.0,1.0,1
napim,ne yapayım,4,4,4,1.0,1.0,1
ztn,zaten,4,4,4,1.0,1.0,1
bise,bir şey,4,4,4,1.0,1.0,1
bende,ben de,4,8,7,0.5714285714285714,0.875,2
e,,4,5,4,1.0,0.8,1
morgen,Morgen,4,7,4,1.0,0.5714285714285714,1
burda,burada,3,4,4,0.75,1.0,2
artik,artık,3,5,5,0.6,1.0,2
vardi,vardı,3,3,3,1.0,1.0,1
i,,3,7,7,0.42857142857142855,1.0,3
acik,açık,3,3,3,1.0,1.0,1
nin,,3,3,3,1.0,1.0,1
hemde,hem de,3,3,3,1.0,1.0,1
führer,Führer,3,3,3,1.0,1.0,1
menschen,Menschen,3,3,3,1.0,1.0,1
bakalim,bakalım,3,3,3,1.0,1.0,1
demis,demiş,3,3,3,1.0,1.0,1
vs,vs.,3,3,3,1.0,1.0,1
olmasi,olması,3,3,3,1.0,1.0,1
almancada,Almanca'da,3,3,3,1.0,1.0,1
olmus,olmuş,3,3,3,1.0,1.0,1
kacti,kaçtı,3,3,3,1.0,1.0,1
diyon,diyorsun,3,3,3,1.0,1.0,1
EN,en,3,3,3,1.0,1.0,1
türkce,Türkçe,3,3,3,1.0,1.0,1
abend,Abend,3,3,3,1.0,1.0,1
oluyo,oluyor,3,3,3,1.0,1.0,1
beste,Beste,3,3,3,1.0,1.0,1
aba,aber,3,4,4,0.75,1.0,2
nich,nicht,3,3,3,1.0,1.0,1
isin,işin,3,3,3,1.0,1.0,1
tabi,tabii,3,3,3,1.0,1.0,1
konusuyor,konuşuyor,3,3,3,1.0,1.0,1
blut,Blut,3,3,3,1.0,1.0,1
deutschland,Deutschland,3,3,3,1.0,1.0,1
fur,für,3,3,3,1.0,1.0,1
FREMDEN,Fremdenpass,3,3,3,1.0,1.0,1
PASS,,3,3,3,1.0,1.0,1
SCHLAMPE,Schlampe,3,3,3,1.0,1.0,1
Türkleri,Türkler'i,3,3,3,1.0,1.0,1
gercekten,gerçekten,3,3,3,1.0,1.0,1
termin,Termin,3,3,3,1.0,1.0,1
guten,Guten,3,3,3,1.0,1.0,1
aldim,aldım,3,3,3,1.0,1.0,1
diyo,diyor,3,3,3,1.0,1.0,1
aksam,akşam,3,3,3,1.0,1.0,1
yakinda,yakında,3,3,3,1.0,1.0,1
nerde,nerede,3,3,3,1.0,1.0,1
burdan,buradan,3,3,3,1.0,1.0,1
yarin,yarın,3,3,3,1.0,1.0,1
tobe,tövbe,3,3,3,1.0,1.0,1
lazim,lazım,3,3,3,1.0,1.0,1
fln,falan,3,3,3,1.0,1.0,1
