lang,sentences,sentence_exact,sentence_exact_rate,tokens,token_correct,token_accuracy,changed_tokens,unchanged_tokens,over_normalized,missed_change,wrong_correction,prediction_missing,prediction_extra,length_mismatch
de,573,201,35.08%,4860,4086,84.07%,873,3987,254,220,300,0,0,0
en,590,330,55.93%,9169,8296,90.48%,633,8536,698,123,52,0,0,0
hr,1588,700,44.08%,18941,15032,79.36%,1683,17258,2869,357,683,0,0,0
id,431,47,10.90%,4306,3282,76.22%,2057,2249,80,338,606,0,0,0
iden,165,38,23.03%,4809,4266,88.71%,585,4224,347,88,108,0,0,0
ja,305,22,7.21%,10919,10038,91.93%,683,10236,314,362,205,0,0,0
ko,212,75,35.38%,1880,1290,68.62%,166,1714,440,55,95,0,0,0
nl,308,26,8.44%,3863,3013,78.00%,1093,2770,159,237,454,0,0,0
sl,1557,700,44.96%,15311,12617,82.40%,2391,12920,1552,350,792,0,0,0
sr,1379,636,46.12%,17796,13409,75.35%,1361,16435,3558,213,616,0,0,0
th,250,40,16.00%,19872,18793,94.57%,786,19086,641,224,214,0,0,0
vi,1050,597,56.86%,13651,12883,94.37%,2133,11518,201,150,417,0,0,0
